age,education-num,hours-per-week,capital-gain,capital-loss,sex,married,income
39,13,40,2174,0,1,1,0
50,13,13,0,0,1,1,0
38,9,40,0,0,1,0,0
53,7,40,0,0,1,1,0
28,13,40,0,0,0,1,0
37,14,40,0,0,0,1,0
49,5,16,0,0,0,1,0
52,9,45,0,0,1,1,1
31,14,50,14084,0,0,1,1
42,13,40,5178,0,1,1,1
37,10,80,0,0,1,1,1
30,13,40,0,0,1,1,1
23,13,30,0,0,0,1,0
32,12,50,0,0,1,1,0
40,11,40,0,0,1,1,1
34,4,45,0,0,1,1,0
25,9,35,0,0,1,1,0
32,9,40,0,0,1,1,0
38,7,50,0,0,1,1,0
43,14,45,0,0,0,0,1
40,16,60,0,0,1,1,1
54,9,20,0,0,0,0,0
35,5,40,0,0,1,1,0
43,7,40,0,2042,1,1,0
59,9,40,0,0,0,0,0
56,13,40,0,0,1,1,1
19,9,40,0,0,1,1,0
54,10,60,0,0,1,1,1
39,9,80,0,0,1,0,0
49,9,40,0,0,1,1,0
23,12,52,0,0,1,1,0
20,10,44,0,0,1,1,0
45,13,40,0,1408,1,0,0
30,10,40,0,0,1,1,0
22,10,15,0,0,1,1,0
48,7,40,0,0,1,1,0
21,10,40,0,0,1,1,0
19,9,25,0,0,0,1,0
31,10,38,0,0,1,1,1
48,12,40,0,0,1,1,0
31,5,43,0,0,1,1,0
53,13,40,0,0,1,1,0
24,13,50,0,0,1,1,0
49,9,40,0,0,0,0,0
25,9,35,0,0,1,1,0
57,13,40,0,0,1,1,1
53,9,38,0,0,1,1,0
44,14,40,0,0,0,0,0
41,11,40,0,0,1,1,0
29,11,43,0,0,1,1,0
25,10,40,0,0,0,1,0
18,9,30,0,0,0,1,0
47,15,60,0,1902,0,1,1
50,13,55,0,0,1,0,1
47,9,60,0,0,1,0,0
43,10,40,0,0,1,1,1
46,3,40,0,0,1,1,0
35,11,40,0,0,1,1,0
41,9,48,0,0,1,1,0
30,9,40,5013,0,1,1,0
30,13,40,2407,0,1,1,0
32,4,40,0,0,1,1,0
48,9,40,0,0,1,1,0
42,16,45,0,0,1,1,1
29,10,58,0,0,1,0,0
36,9,40,0,0,1,1,0
28,10,40,0,0,0,0,0
53,9,40,0,0,0,1,1
49,10,50,0,0,1,1,1
25,10,40,0,0,1,1,0
19,10,32,0,0,1,1,0
31,13,40,0,0,0,0,0
29,13,70,0,0,1,1,1
23,10,40,0,0,1,1,0
79,10,20,0,0,1,1,0
27,9,40,0,0,1,1,0
40,12,40,0,0,1,1,0
67,6,2,0,0,1,1,0
18,7,22,0,0,0,1,0
31,4,40,0,0,1,1,0
18,9,30,0,0,1,1,0
52,13,40,0,0,1,1,0
46,9,40,0,0,0,1,0
59,9,48,0,0,1,1,0
44,9,40,14344,0,0,0,1
53,9,35,0,0,0,0,0
49,9,40,0,0,1,1,1
33,14,50,0,0,1,1,0
30,5,40,0,0,1,1,0
43,16,50,0,0,0,1,1
57,11,40,0,0,1,1,0
37,10,40,0,0,0,0,0
28,10,25,0,0,0,0,0
30,9,35,0,1573,0,1,0
34,13,40,0,0,1,1,1
29,10,50,0,0,1,1,0
48,16,60,0,1902,1,1,1
37,10,48,0,0,1,1,1
48,12,40,0,0,0,0,0
32,9,40,0,0,1,1,0
76,14,40,0,0,1,1,1
44,13,60,15024,0,1,1,1
47,14,50,0,0,0,1,0
20,10,40,0,0,0,1,0
29,9,40,0,0,1,1,0
32,9,40,7688,0,1,1,1
17,6,32,34095,0,0,1,0
30,7,40,0,0,1,1,0
31,9,40,0,0,0,1,0
42,9,40,0,0,1,1,0
24,13,40,0,0,1,1,0
38,15,40,0,0,1,1,1
56,9,50,0,1887,1,1,1
28,10,25,4064,0,0,1,0
36,9,40,0,0,0,1,0
53,5,50,0,0,1,1,0
56,10,50,0,0,1,1,0
49,11,40,0,0,1,1,1
55,10,56,0,0,1,1,0
22,9,41,0,0,1,1,0
21,10,40,0,0,0,1,0
40,13,60,0,0,1,1,0
30,13,40,0,0,1,1,0
29,13,50,0,0,1,1,1
19,10,35,0,0,1,1,0
47,13,40,0,0,0,1,1
20,10,28,0,1719,0,1,0
31,12,40,0,0,1,1,1
35,9,40,0,0,1,1,0
39,10,40,0,0,1,0,0
28,12,60,0,0,0,1,0
24,9,40,0,1762,0,1,0
38,9,35,4386,0,1,1,0
37,13,50,0,0,1,1,0
46,12,36,0,0,0,0,0
38,14,40,0,0,1,1,1
43,9,60,0,0,1,1,0
27,11,35,0,0,0,1,0
